date,global_refinary_output,petrol_pump_price,petrol_duty_per_litre,petrol_vat,diesel_pump_price,diesel_duty_per_litre,diesel_vat,avg_stock_level,avg_road_fuel_deliveries,avg_road_fuel_sales,gbp_to_usd_xrate,brent_crude_price,brent_crude_open_price,brent_crude_high_price,brent_crude_low_price,brent_crude_volume_traded,ngas_price,ngas_open_price,ngas_high_price,ngas_low_price,brent_crude_price_range
2020-02-02,296457.8620689655,126.06142857142856,57.95,20.0,131.67999999999998,57.95,20.0,40.08576805,6345.0,6681.0,1.32046,27.4,27.59,27.67,26.93,10530,0.017633333333333334,0.01796666666666667,0.018033333333333335,0.017566666666666668,0.740000000000002
2020-02-09,301482.8965517241,124.89,57.95,20.0,129.9542857142857,57.95,20.0,43.99754884,6688.0,5115.0,1.28925,26.47,26.9,26.9,26.21,33200,0.017533333333333335,0.017566666666666664,0.017566666666666664,0.017433333333333332,0.6899999999999977
2020-02-16,306507.9310344828,123.93285714285715,57.95,20.0,128.4142857142857,57.95,20.0,42.72523216,6189.0,5822.0,1.30471,27.35,27.08,27.54,27.05,128480,0.017900000000000003,0.017733333333333334,0.017866666666666666,0.017733333333333334,0.48999999999999844
2020-02-23,311532.9655172414,123.5,57.95,20.0,127.74571428571429,57.95,20.0,40.1328133,6282.0,6461.0,1.2955,27.68,27.91,27.93,27.51,28040,0.017599999999999998,0.017666666666666667,0.017733333333333334,0.017499999999999998,0.41999999999999815
2020-03-01,316558.0,122.5757142857143,57.95,20.0,126.77000000000001,57.95,20.0,36.64522424,6903.0,7217.0,1.28215,23.86,24.18,24.42,23.52,75090,0.016333333333333335,0.016333333333333335,0.016333333333333335,0.0159,0.9000000000000021
2020-03-08,308392.8387096774,122.26714285714286,57.95,20.0,126.30285714285715,57.95,20.0,38.26640152,7164.0,6588.0,1.3049,21.82,23.61,23.64,21.75,120800,0.016133333333333333,0.015666666666666666,0.016266666666666665,0.015600000000000001,1.8900000000000006
2020-03-15,300227.67741935485,120.60285714285715,57.95,20.0,124.63,57.95,20.0,39.4664803,6847.0,6704.0,1.227,16.68,17.23,17.64,16.5,205550,0.017266666666666666,0.0174,0.017466666666666665,0.01693333333333333,1.1400000000000006
2020-03-22,292062.51612903224,119.73857142857143,57.95,20.0,123.54571428571428,57.95,20.0,44.97044724,6358.0,4367.0,1.165,14.38,15.43,15.7,14.0,206000,0.015366666666666666,0.0153,0.015566666666666666,0.015166666666666667,1.6999999999999993
2020-03-29,283897.3548387097,113.47714285714287,57.95,20.0,119.28714285714285,57.95,20.0,55.83417964,1562.0,1524.0,1.2455,13.92,14.24,14.28,13.8,167610,0.015333333333333332,0.015033333333333333,0.015166666666666667,0.015033333333333333,0.47999999999999865
2020-04-05,279577.3333333333,110.54714285714286,57.95,20.0,117.08285714285714,57.95,20.0,48.51380172,1283.0,1604.0,1.228421,15.78,14.59,16.5,14.59,357820,0.015466666666666667,0.015133333333333334,0.015366666666666667,0.014799999999999999,1.9100000000000001
2020-04-12,278141.1666666667,109.40714285714286,57.95,20.0,116.24714285714286,57.95,20.0,44.7228323,1778.0,1092.0,1.2447,16.18,16.23,17.26,15.8,594370,0.01612,0.01642,0.0165,0.01608,1.4600000000000009
2020-04-19,276705.0,108.72142857142856,57.95,20.0,115.79,57.95,20.0,40.55615199,1480.0,1731.0,1.25095,14.44,14.62,14.75,14.25,196150,0.016533333333333334,0.0162,0.0166,0.0161,0.5
2020-04-26,275268.8333333333,107.98714285714286,57.95,20.0,115.29285714285714,57.95,20.0,36.07490218,2039.0,1968.0,1.237,11.3,11.8,11.8,10.91,218840,0.0162,0.016533333333333334,0.016533333333333334,0.016266666666666665,0.8900000000000006
2020-05-03,274114.4193548387,107.60571428571428,57.95,20.0,114.98,57.95,20.0,36.95861287,2221.0,2113.0,1.2502,11.95,12.12,12.37,11.75,129680,0.017,0.016966666666666668,0.017366666666666666,0.016933333333333335,0.6199999999999992
2020-05-10,273664.3870967742,107.46571428571428,57.95,20.0,114.84571428571428,57.95,20.0,37.72946414,2252.0,2135.0,1.2406,14.03,13.35,14.49,13.29,246000,0.016525,0.016425,0.01665,0.016325,1.200000000000001
2020-05-17,273214.3548387097,105.42714285714285,57.95,20.0,112.59285714285714,57.95,20.0,35.21379162,3170.0,3163.0,1.2156646666666666,14.13,14.27,14.37,13.93,329330,0.0152,0.014766666666666666,0.015366666666666666,0.014633333333333333,0.4399999999999995
2020-05-24,272764.32258064515,104.90142857142858,57.95,20.0,111.77428571428571,57.95,20.0,36.87821035,3489.0,3227.0,1.216605,15.32,15.14,15.44,14.9,386080,0.014950000000000001,0.01455,0.01485,0.0145,0.5399999999999991
